
P=10052 24 0 FAF710 
P=10052 81 0 FAFA20 
P=10052 83 0 FAF820 
P=10052 1 0 FAFA20 
P=10052 210 30001 1005A 
UpdateWindow=1 1005A 
P=10052 5 0 1B20278 
P=10052 3 0 A20144 
P=10052 18 1 0 
P=10052 46 0 FAF4C0 
P=10052 7F 1 0 
P=10052 7F 0 0 
P=10052 30F 0 0 
P=10052 1C 1 0 
P=10052 86 1 0 
P=10052 6 1 0 
P=10052 7 0 0 
P=10052 8 1005A 0 
P=10052 111 1000003 1005A 
DoCommand=1000003 16777219 
P=10052 85 1 0 
P=10052 14 2004F 0 
P=10052 47 0 FAF4C0 
P=10052 111 6020003 1005A 
DoCommand=6020003 100794371 
P=10052 111 6020003 1005A 
DoCommand=6020003 100794371 
P=10052 20 0 0 
P=10052 C 0 422C96 
P=10052 111 6020003 1005A 
DoCommand=6020003 100794371 
P=10052 F 0 0 
P=10052 133 20049 1005A 
P=10052 21 10052 2010002 
P=10052 20 1005A 2000007 
P=10052 20 1005A 2000007 
P=10052 20 1005A 2000001 
P=10052 20 1005A 2000001 
P=10052 84 0 A103A2 
P=10052 20 10052 2000005 
P=10052 A0 5 A103A2 
P=10052 84 0 A103A1 
P=10052 20 10052 2000005 
P=10052 A0 5 A103A1 
P=10052 84 0 A003A1 
P=10052 20 10052 2000005 
P=10052 A0 5 A003A1 
P=10052 84 0 9F03A1 
P=10052 20 10052 2000005 
P=10052 A0 5 9F03A1 
P=10052 84 0 9D03A1 
P=10052 20 10052 2000005 
P=10052 A0 5 9D03A1 
P=10052 84 0 9B03A1 
P=10052 20 10052 2000005 
P=10052 A0 5 9B03A1 
P=10052 84 0 9A03A1 
P=10052 20 10052 2000005 
P=10052 A0 5 9A03A1 
P=10052 84 0 99039F 
P=10052 20 10052 2000005 
P=10052 A0 5 99039F 
P=10052 84 0 97039F 
P=10052 20 10052 2000005 
P=10052 A0 5 97039F 
P=10052 84 0 97039E 
P=10052 20 10052 2000005 
P=10052 A0 5 97039E 
P=10052 84 0 96039E 
P=10052 20 10052 2000005 
P=10052 A0 5 96039E 
P=10052 84 0 94039E 
P=10052 20 10052 2000005 
P=10052 A0 5 94039E 
P=10052 84 0 93039E 
P=10052 20 10052 2000005 
P=10052 A0 5 93039E 
P=10052 84 0 92039E 
P=10052 20 10052 2000005 
P=10052 A0 5 92039E 
P=10052 84 0 91039E 
P=10052 20 10052 2000005 
P=10052 A0 5 91039E 
P=10052 84 0 90039E 
P=10052 20 10052 2000005 
P=10052 A0 5 90039E 
P=10052 84 0 8F039F 
P=10052 20 10052 2000005 
P=10052 A0 5 8F039F 
P=10052 112 F060 0 
P=10052 10 0 0 
P=10052 46 0 FAE990 
P=10052 47 0 FAE990 
P=10052 86 0 0 
P=10052 6 0 0 
P=10052 1C 0 0 
P=10052 111 2000003 1005A 
DoCommand=2000003 33554435 
P=10052 2 0 0 
P=10052 82 0 0 
